,movieId,original_title,genres,popularity,year,runtime,vote_average,vote_count,cast,keywords,director
0,862,Toy Story,"['Animation', 'Comedy', 'Family']",21.946943,1995,81,7.7,5415,"['tomhanks', 'timallen', 'donrickles']","['jealousy', 'toy', 'boy', 'friendship', 'friends', 'rivalry', 'boy next door', 'new toy', 'toy comes to life']",johnlasseter
1,8844,Jumanji,"['Adventure', 'Fantasy', 'Family']",17.015539,1995,104,6.9,2413,"['robinwilliams', 'jonathanhyde', 'kirstendunst']","['board game', 'disappearance', ""based on children's book"", 'new home', 'recluse', 'giant insect']",joejohnston
2,15602,Grumpier Old Men,"['Romance', 'Comedy']",11.7129,1995,101,6.5,92,"['waltermatthau', 'jacklemmon', 'ann-margret']","['fishing', 'best friend', 'duringcreditsstinger', 'old men']",howarddeutch
3,31357,Waiting to Exhale,"['Comedy', 'Drama', 'Romance']",3.859495,1995,127,6.1,34,"['whitneyhouston', 'angelabassett', 'lorettadevine']","['based on novel', 'interracial relationship', 'single mother', 'divorce', 'chick flick']",forestwhitaker
4,11862,Father of the Bride Part II,['Comedy'],8.387519,1995,106,5.7,173,"['stevemartin', 'dianekeaton', 'martinshort']","['baby', 'midlife crisis', 'confidence', 'aging', 'daughter', 'mother daughter relationship', 'pregnancy', 'contraception', 'gynecologist']",charlesshyer
5,949,Heat,"['Action', 'Crime', 'Drama', 'Thriller']",17.924927,1995,170,7.7,1886,"['alpacino', 'robertdeniro', 'valkilmer']","['robbery', 'detective', 'bank', 'obsession', 'chase', 'shooting', 'thief', 'honor', 'murder', 'suspense', 'heist', 'betrayal', 'money', 'gang', 'cat and mouse', 'criminal mastermind', 'cult film', 'ex-con', 'heist movie', 'one last job', 'loner', 'bank job', 'neo-noir', 'gun fight', 'crime epic']",michaelmann
6,11860,Sabrina,"['Comedy', 'Romance']",6.677277,1995,127,6.2,141,"['harrisonford', 'juliaormond', 'gregkinnear']","['paris', 'brother brother relationship', 'chauffeur', 'long island', 'fusion', 'millionaire']",sydneypollack
7,45325,Tom and Huck,"['Action', 'Adventure', 'Drama', 'Family']",2.561161,1995,97,5.4,45,"['jonathantaylorthomas', 'bradrenfro', 'rachaelleighcook']",[],peterhewitt
8,9091,Sudden Death,"['Action', 'Adventure', 'Thriller']",5.23158,1995,106,5.5,174,"['jean-claudevandamme', 'powersboothe', 'dorianharewood']","['terrorist', 'hostage', 'explosive', 'vice president']",peterhyams
9,710,GoldenEye,"['Adventure', 'Action', 'Thriller']",14.686036,1995,130,6.6,1194,"['piercebrosnan', 'seanbean', 'izabellascorupco']","['cuba', 'falsely accused', 'secret identity', 'computer virus', 'secret base', 'secret intelligence service', 'kgb', 'satellite', 'special car', 'cossack', 'electromagnetic pulse', 'time bomb', 'st. petersburg russia', 'ejection seat', 'red army']",martincampbell
