,movie_id,title,genres,year
0,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995
1,2,Jumanji (1995),Adventure|Children|Fantasy,1995
2,3,Grumpier Old Men (1995),Comedy|Romance,1995
3,4,Waiting to Exhale (1995),Comedy|Drama|Romance,1995
4,5,Father of the Bride Part II (1995),Comedy,1995
5,6,Heat (1995),Action|Crime|Thriller,1995
6,7,Sabrina (1995),Comedy|Romance,1995
7,8,Tom and Huck (1995),Adventure|Children,1995
8,9,Sudden Death (1995),Action,1995
9,10,GoldenEye (1995),Action|Adventure|Thriller,1995
10,11,"American President, The (1995)",Comedy|Drama|Romance,1995
11,12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995
12,13,Balto (1995),Adventure|Animation|Children,1995
13,14,Nixon (1995),Drama,1995
14,15,Cutthroat Island (1995),Action|Adventure|Romance,1995
15,16,Casino (1995),Crime|Drama,1995
16,17,Sense and Sensibility (1995),Drama|Romance,1995
17,18,Four Rooms (1995),Comedy,1995
18,19,Ace Ventura: When Nature Calls (1995),Comedy,1995
19,20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,1995
20,21,Get Shorty (1995),Comedy|Crime|Thriller,1995
21,22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1995
22,23,Assassins (1995),Action|Crime|Thriller,1995
23,24,Powder (1995),Drama|Sci-Fi,1995
24,25,Leaving Las Vegas (1995),Drama|Romance,1995
25,26,Othello (1995),Drama,1995
26,27,Now and Then (1995),Children|Drama,1995
27,28,Persuasion (1995),Drama|Romance,1995
28,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,1995
30,31,Dangerous Minds (1995),Drama,1995
31,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,1995
32,33,Wings of Courage (1995),Adventure|Romance|IMAX,1995
33,34,Babe (1995),Children|Drama,1995
34,35,Carrington (1995),Drama|Romance,1995
35,36,Dead Man Walking (1995),Crime|Drama,1995
36,37,Across the Sea of Time (1995),Documentary|IMAX,1995
37,38,It Takes Two (1995),Children|Comedy,1995
38,39,Clueless (1995),Comedy|Romance,1995
39,40,"Cry, the Beloved Country (1995)",Drama,1995
40,41,Richard III (1995),Drama|War,1995
41,42,Dead Presidents (1995),Action|Crime|Drama,1995
42,43,Restoration (1995),Drama,1995
43,44,Mortal Kombat (1995),Action|Adventure|Fantasy,1995
44,45,To Die For (1995),Comedy|Drama|Thriller,1995
45,46,How to Make an American Quilt (1995),Drama|Romance,1995
46,47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,1995
47,48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,1995
48,49,When Night Is Falling (1995),Drama|Romance,1995
49,50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,1995
50,51,Guardian Angel (1994),Action|Drama|Thriller,1994
51,52,Mighty Aphrodite (1995),Comedy|Drama|Romance,1995
52,53,Lamerica (1994),Adventure|Drama,1994
53,54,"Big Green, The (1995)",Children|Comedy,1995
54,55,Georgia (1995),Drama,1995
55,56,Kids of the Round Table (1995),Adventure|Children|Comedy|Fantasy,1995
56,57,Home for the Holidays (1995),Drama,1995
57,58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,1994
58,59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,1995
59,60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,1995
60,61,Eye for an Eye (1996),Drama|Thriller,1996
61,62,Mr. Holland's Opus (1995),Drama,1995
62,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,1996
63,64,Two if by Sea (1996),Comedy|Romance,1996
64,65,Bio-Dome (1996),Comedy,1996
65,66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,1996
66,67,Two Bits (1995),Drama,1995
67,68,French Twist (Gazon maudit) (1995),Comedy|Romance,1995
68,69,Friday (1995),Comedy,1995
69,70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,1996
70,71,Fair Game (1995),Action,1995
